1,termly.io
2,microsoft.com
3,mail.ru
4,facebook.com
5,dzen.ru
6,root-servers.net
7,amazonaws.com
8,apple.com
9,youtube.com
10,googleapis.com
11,cloudflare.com
12,akamai.net
13,twitter.com
14,instagram.com
15,a-msedge.net
16,akamaiedge.net
17,office.com
18,gstatic.com
19,linkedin.com
20,azure.com
21,speedcdns.com
22,live.com
23,googletagmanager.com
24,googlevideo.com
25,amazon.com
26,fbcdn.net
27,akadns.net
28,workers.dev
29,wikipedia.org
30,tiktokcdn.com
31,windowsupdate.com
32,microsoftonline.com
33,doubleclick.net
34,googleusercontent.com
35,l-msedge.net
36,github.com
37,t-msedge.net
38,trafficmanager.net
39,apple-dns.net
40,bing.com
41,office.net
42,dual-s-msedge.net
43,fastly.net
44,wordpress.org
45,pinterest.com
46,icloud.com
47,whatsapp.net
48,aaplimg.com
49,youtu.be
50,netflix.com
